Journal,分区,Top,Open Access
Journal of Anaesthesiology Clinical Pharmacology,4,否,是
Journal of Analysis and Testing,1,是,否
Journal of Analysis,4,否,否
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,2,是,否
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,2,否,否
JOURNAL OF ANALYTICAL CHEMISTRY,4,否,否
Journal of Analytical Methods in Chemistry,3,否,是
JOURNAL OF ANALYTICAL PSYCHOLOGY,4,否,否
Journal of Analytical Science and Technology,3,否,是
JOURNAL OF ANALYTICAL TOXICOLOGY,4,否,否
JOURNAL OF ANATOMY,3,否,否
Journal of Ancient History and Archaeology,4,否,是
Journal of Ancient Judaism,3,否,否
Journal of Ancient Near Eastern History,2,否,否
Journal of Ancient Near Eastern Religions,3,否,否
Journal of Anesthesia,3,否,否
Journal of Anglican Studies,3,否,否
JOURNAL OF ANIMAL AND FEED SCIENCES,4,否,否
Journal of Animal and Plant Sciences-JAPS,4,否,否
Journal of Animal Behaviour and Biometeorology,4,否,否
JOURNAL OF ANIMAL BREEDING AND GENETICS,3,否,否
JOURNAL OF ANIMAL ECOLOGY,2,是,否
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,3,否,否
Journal of Animal Science and Biotechnology,1,是,是
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,3,否,是
JOURNAL OF ANIMAL SCIENCE,2,否,否
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,1,是,否
JOURNAL OF ANTHROPOLOGICAL RESEARCH,3,否,否
Journal of Anthropological Sciences,3,否,否
JOURNAL OF ANTIBIOTICS,4,否,否
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,2,否,否
Journal of Antitrust Enforcement,4,否,否
JOURNAL OF ANXIETY DISORDERS,2,否,否
JOURNAL OF AOAC INTERNATIONAL,4,否,否
JOURNAL OF APICULTURAL RESEARCH,4,否,否
JOURNAL OF APICULTURAL SCIENCE,4,否,是
Journal of Applied Accounting Research,3,否,否
Journal of Applied Analysis and Computation,4,否,否
Journal of Applied Analysis,4,否,否
Journal of Applied and Computational Mechanics,3,否,是
JOURNAL OF APPLIED ANIMAL RESEARCH,4,否,是
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,3,否,否
JOURNAL OF APPLIED AQUACULTURE,4,否,否
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,1,是,否
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,3,否,否
Journal of Applied Biomaterials & Functional Materials,4,否,是
Journal of Applied Biomechanics,4,否,否
Journal of Applied Biomedicine,4,否,是
JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,4,否,是
Journal of Applied Clinical Medical Physics,4,否,是
JOURNAL OF APPLIED COMMUNICATION RESEARCH,3,否,否
Journal of Applied Corporate Finance,4,否,否
JOURNAL OF APPLIED CRYSTALLOGRAPHY,3,否,否
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,3,否,否
JOURNAL OF APPLIED ECOLOGY,1,是,否
JOURNAL OF APPLIED ECONOMETRICS,3,否,否
Journal of Applied Economics and Business Research,4,否,否
Journal of Applied Economics,4,否,是
JOURNAL OF APPLIED ELECTROCHEMISTRY,4,否,否
Journal of Applied Engineering Sciences,4,否,是
JOURNAL OF APPLIED ENTOMOLOGY,3,否,否
Journal of Applied Fluid Mechanics,4,否,是
JOURNAL OF APPLIED GENETICS,4,否,否
Journal of Applied Geodesy,4,否,否
JOURNAL OF APPLIED GEOPHYSICS,3,否,否
JOURNAL OF APPLIED GERONTOLOGY,3,否,否
Journal of Applied Glycoscience,4,否,否
Journal of Applied Hermeneutics,4,否,是
JOURNAL OF APPLIED ICHTHYOLOGY,4,否,否
Journal of Applied Journalism & Media Studies,4,否,否
Journal of Applied Laboratory Medicine,4,否,否
Journal of Applied Logics-IfCoLoG Journal of Logics and their Applications,4,否,否
Journal of Applied Mathematics & Informatics,4,否,否
Journal of Applied Mathematics and Computational Mechanics,4,否,是
Journal of Applied Mathematics and Computing,2,否,是
Journal of Applied Mathematics Statistics and Informatics,4,否,是
Journal of Applied Mathematics,4,否,是
Journal of Applied Mechanics and Technical Physics,4,否,否
JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,3,否,否
Journal of Applied Meteorology and Climatology,3,否,否
JOURNAL OF APPLIED MICROBIOLOGY,3,否,否
Journal of Applied Nonlinear Dynamics,4,否,否
Journal of Applied Oral Science,3,否,是
Journal of Applied Philosophy,3,否,否
JOURNAL OF APPLIED PHYCOLOGY,3,否,否
JOURNAL OF APPLIED PHYSICS,3,否,否
Journal of Applied Physiology,2,否,否
JOURNAL OF APPLIED POLYMER SCIENCE,3,否,否
JOURNAL OF APPLIED POULTRY RESEARCH,3,否,是
JOURNAL OF APPLIED PROBABILITY,4,否,否
JOURNAL OF APPLIED PSYCHOLOGY,1,是,否
Journal of Applied Remote Sensing,4,否,否
Journal of Applied Research in Higher Education,4,否,否
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,3,否,否
Journal of Applied Research in Memory and Cognition,2,否,否
Journal of Applied Research on Medicinal and Aromatic Plants,2,否,否
Journal of Applied School Psychology,4,否,否
Journal of Applied Science and Engineering,4,否,是
Journal of Applied Security Research,4,否,否
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,3,否,否
Journal of Applied Spectroscopy,4,否,否
Journal of Applied Sport Management,4,否,否
JOURNAL OF APPLIED SPORT PSYCHOLOGY,2,否,否
JOURNAL OF APPLIED STATISTICS,4,否,否
JOURNAL OF APPLIED TOXICOLOGY,4,否,否
Journal of Applied Water Engineering and Research,4,否,否
JOURNAL OF APPROXIMATION THEORY,4,否,否
JOURNAL OF AQUATIC ANIMAL HEALTH,4,否,否
Journal of Aquatic Food Product Technology,4,否,否
JOURNAL OF AQUATIC PLANT MANAGEMENT,4,否,否
Journal of Arab & Muslim Media Research,4,否,否
JOURNAL OF ARABIC LITERATURE,3,否,否
JOURNAL OF ARACHNOLOGY,3,否,否
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,1,是,否
JOURNAL OF ARCHAEOLOGICAL RESEARCH,1,是,否
Journal of Archaeological Science-Reports,2,是,否
JOURNAL OF ARCHAEOLOGICAL SCIENCE,1,是,否
Journal of Architectural Conservation,4,否,否
JOURNAL OF ARCHITECTURAL EDUCATION,4,否,否
Journal of Architectural Engineering,4,否,否
Journal of Architecture and Planning -King Saud University,4,否,否
Journal of Architecture and Urbanism,4,否,是
Journal of Architecture,2,否,否
Journal of Argumentation in Context,3,否,否
Journal of Arid Environments,3,否,否
Journal of Arid Land,3,否,否
Journal of Arrhythmia,4,否,是
Journal of Art History-Sanat Tarihi Yilligi,4,否,是
JOURNAL OF ARTHROPLASTY,2,是,否
Journal of Arthropod-Borne Diseases,4,否,是
Journal of Artificial Intelligence and Soft Computing Research,2,否,是
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,3,否,是
JOURNAL OF ARTIFICIAL ORGANS,4,否,否
JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY,4,否,否
Journal of Asia Business Studies,4,否,否
Journal of Asia TEFL,4,否,否
Journal of Asia-Pacific Biodiversity,4,否,否
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,4,否,否
Journal of Asia-Pacific Pop Culture,4,否,否
JOURNAL OF ASIAN AND AFRICAN STUDIES,4,否,否
Journal of Asian Architecture and Building Engineering,4,否,是
Journal of Asian Business and Economic Studies,3,否,是
Journal of Asian Ceramic Societies,4,否,是
Journal of Asian Earth Sciences-X,4,否,是
JOURNAL OF ASIAN EARTH SCIENCES,3,否,否
Journal of Asian Economics,2,否,否
JOURNAL OF ASIAN HISTORY,4,否,否
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,4,否,否
Journal of Asian Pacific Communication,3,否,否
Journal of Asian Public Policy,4,否,否
Journal of Asian Security and International Affairs,3,否,否
JOURNAL OF ASIAN STUDIES,2,否,否
Journal of Asset Management,4,否,否
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,3,否,否
Journal of Asthma and Allergy,3,否,是
JOURNAL OF ASTHMA,4,否,否
Journal of Astronomical History and Heritage,4,否,否
Journal of Astronomical Instrumentation,4,否,否
Journal of Astronomical Telescopes Instruments and Systems,4,否,否
Journal of Astronomy and Earth Sciences Education,4,否,否
Journal of Astronomy and Space Sciences,4,否,是
JOURNAL OF ASTROPHYSICS AND ASTRONOMY,4,否,否
Journal of Atherosclerosis and Thrombosis,3,否,否
Journal of Athletic Training,3,否,否
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,4,否,否
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,4,否,否
JOURNAL OF ATMOSPHERIC CHEMISTRY,3,否,否
Journal of Attention Disorders,3,否,否
Journal of Audiology and Otology,4,否,否
Journal of Australian Political Economy,4,否,否
Journal of Australian Studies,3,否,否
Journal of Austrian Studies,4,否,否
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,3,否,否
JOURNAL OF AUTOIMMUNITY,1,是,否
JOURNAL OF AUTOMATED REASONING,3,否,否
JOURNAL OF AVIAN BIOLOGY,3,否,否
JOURNAL OF AVIAN MEDICINE AND SURGERY,4,否,否
Journal of Ayurveda and Integrative Medicine,4,否,是
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,4,否,否
JOURNAL OF BACTERIOLOGY,3,否,否
Journal of Balkan and Near Eastern Studies,3,否,否
Journal of Baltic Science Education,4,否,否
JOURNAL OF BALTIC STUDIES,4,否,否
JOURNAL OF BANKING & FINANCE,2,否,否
Journal of Banking and Finance Law and Practice,4,否,否
Journal of Banking Regulation,4,否,否
Journal of Basic and Applied Zoology,4,否,是
Journal of Basic and Clinical Health Sciences,4,否,否
JOURNAL OF BASIC MICROBIOLOGY,4,否,否
JOURNAL OF BECKETT STUDIES,3,否,否
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,4,否,否
Journal of Behavioral Addictions,2,否,是
Journal of Behavioral and Cognitive Therapy,4,否,否
Journal of Behavioral and Experimental Economics,3,否,否
Journal of Behavioral and Experimental Finance,3,否,否
JOURNAL OF BEHAVIORAL DECISION MAKING,3,否,否
Journal of Behavioral Education,4,否,否
Journal of Behavioral Finance,4,否,否
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,4,否,否
JOURNAL OF BEHAVIORAL MEDICINE,3,否,否
Journal of Behavioral Science,4,否,否
Journal of Behcet Uz Childrens Hospital,4,否,是
Journal of Belgian History-Revue Belge d Histoire Contemporaine-Belgisch Tijdschrift voor Nieuwste Geschiedenis,4,否,否
Journal of Beliefs & Values-Studies in Religion & Education,3,否,否
Journal of Benefit-Cost Analysis,3,否,否
Journal of Berry Research,4,否,否
JOURNAL OF BIBLICAL LITERATURE,1,是,否
Journal of Big Data,2,否,是
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,4,否,否
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,3,否,否
Journal of Biochemistry,4,否,否
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,3,否,否
Journal of Bioethical Inquiry,4,否,否
JOURNAL OF BIOGEOGRAPHY,2,否,否
Journal of Bioinformatics and Computational Biology,4,否,否
JOURNAL OF BIOLOGICAL CHEMISTRY,2,否,是
Journal of Biological Dynamics,3,否,是
JOURNAL OF BIOLOGICAL EDUCATION,4,否,否
Journal of Biological Engineering,2,否,是
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,3,否,否
JOURNAL OF BIOLOGICAL PHYSICS,4,否,否
Journal of Biological Research-Bollettino della Societa Italiana di Biologia Sperimentale,4,否,是
Journal of Biological Research-Thessaloniki,4,否,是
JOURNAL OF BIOLOGICAL RHYTHMS,3,否,否
JOURNAL OF BIOLOGICAL SYSTEMS,4,否,否
Journal of Biologically Active Products from Nature,4,否,否
JOURNAL OF BIOMATERIALS APPLICATIONS,4,否,否
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,4,否,否
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,4,否,否
JOURNAL OF BIOMECHANICS,3,否,否
JOURNAL OF BIOMEDICAL INFORMATICS,2,否,否
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,3,否,否
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,4,否,否
JOURNAL OF BIOMEDICAL OPTICS,3,否,是
Journal of Biomedical Research,4,否,否
JOURNAL OF BIOMEDICAL SCIENCE,1,是,是
Journal of Biomedical Semantics,4,否,是
Journal of Biomimetics Biomaterials and Biomedical Engineering,4,否,否
JOURNAL OF BIOMOLECULAR NMR,3,否,否
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,4,否,否
Journal of Bionic Engineering,3,否,否
Journal of Biopharmaceutical Statistics,4,否,否
Journal of Biophotonics,3,否,否
Journal of Bioresources and Bioproducts,1,是,是
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,4,否,否
JOURNAL OF BIOSCIENCES,4,否,否
JOURNAL OF BIOSOCIAL SCIENCE,3,否,否
JOURNAL OF BIOTECHNOLOGY,2,否,否
Journal of Bisexuality,3,否,否
Journal of Black Psychology,2,否,否
JOURNAL OF BLACK STUDIES,4,否,否
Journal of Blood Medicine,4,否,是
JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,4,否,否
Journal Of Bone And Joint Infection,4,否,是
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,1,是,否
JOURNAL OF BONE AND MINERAL METABOLISM,4,否,否
JOURNAL OF BONE AND MINERAL RESEARCH,1,是,否
Journal of Bone Oncology,3,否,是
Journal of Borderlands Studies,3,否,否
Journal of Brachial Plexus and Peripheral Nerve Injury,4,否,是
Journal of Brand Management,3,否,否
Journal of Breast Cancer,4,否,是
Journal of Breast Imaging,4,否,否
Journal of Breath Research,4,否,否
Journal of Bridge Engineering,3,否,否
Journal of British and Irish Innovative Poetry,4,否,是
Journal of British Cinema and Television,2,否,否
JOURNAL OF BRITISH STUDIES,1,是,否
JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,2,否,否
Journal of Bronchology & Interventional Pulmonology,2,否,否
JOURNAL OF BRYOLOGY,4,否,否
Journal of Building Engineering,2,是,否
Journal of Building Performance Simulation,4,否,否
Journal of Building Physics,4,否,否
Journal of Burn Care & Research,4,否,否
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,2,否,否
Journal of Business & Finance Librarianship,4,否,否
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,3,否,否
Journal of Business Analytics,4,否,否
JOURNAL OF BUSINESS AND PSYCHOLOGY,2,否,否
JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,2,否,否
Journal of Business Economics and Management,4,否,是
JOURNAL OF BUSINESS ETHICS,1,是,否
Journal of Business Finance & Accounting,4,否,否
Journal of Business Logistics,2,否,否
Journal of Business Research,1,是,否
JOURNAL OF BUSINESS VENTURING,1,是,否
Journal of Business-to-Business Marketing,4,否,否
Journal of Cachexia Sarcopenia and Muscle,1,是,是
JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES,4,否,否
JOURNAL OF CANCER EDUCATION,4,否,否
Journal of Cancer Metastasis and Treatment,4,否,否
Journal of Cancer Policy,4,否,否
Journal of Cancer Prevention,4,否,否
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,4,否,否
Journal of Cancer Research and Therapeutics,4,否,否
Journal of Cancer Survivorship,2,否,否
Journal of Cancer,3,否,是
Journal of Candido Tostes Dairy Institute,4,否,是
Journal of Cannabis Research,3,否,否
JOURNAL OF CARBOHYDRATE CHEMISTRY,4,否,否
JOURNAL OF CARDIAC FAILURE,2,否,否
JOURNAL OF CARDIAC SURGERY,4,否,否
Journal of Cardiology,3,否,否
Journal of Cardiopulmonary Rehabilitation and Prevention,3,否,否
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,4,否,否
Journal of Cardiothoracic Surgery,4,否,是
Journal Of Cardiovascular and Thoracic Research,4,否,是
Journal of Cardiovascular Computed Tomography,2,否,否
Journal of Cardiovascular Development and Disease,3,否,是
Journal of Cardiovascular Echography,4,否,否
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,3,否,否
Journal of Cardiovascular Emergencies,4,否,是
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,2,否,是
Journal of Cardiovascular Medicine,3,否,否
Journal of Cardiovascular Nursing,4,否,否
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,4,否,否
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,4,否,否
JOURNAL OF CARDIOVASCULAR SURGERY,4,否,否
Journal of Cardiovascular Translational Research,4,否,否
JOURNAL OF CAREER ASSESSMENT,2,否,否
JOURNAL OF CAREER DEVELOPMENT,3,否,否
Journal of Cases on Information Technology,4,否,否
JOURNAL OF CATALYSIS,1,是,否
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,3,否,否
Journal of Causal Inference,4,否,是
JOURNAL OF CAVE AND KARST STUDIES,4,否,否
JOURNAL OF CELL BIOLOGY,1,是,否
Journal of Cell Communication and Signaling,3,否,否
JOURNAL OF CELL SCIENCE,3,否,否
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,3,否,是
Journal of Cellular Automata,4,否,否
JOURNAL OF CELLULAR BIOCHEMISTRY,3,否,否
JOURNAL OF CELLULAR PHYSIOLOGY,3,否,否
JOURNAL OF CELLULAR PLASTICS,3,否,否
Journal of Central Banking Theory and Practice,3,否,是
Journal of Central European Agriculture,4,否,是
Journal of Central Nervous System Disease,4,否,是
Journal of Central South University,2,否,否
JOURNAL OF CERAMIC PROCESSING RESEARCH,4,否,否
Journal of Ceramic Science and Technology,4,否,否
Journal of Cereal Science,2,否,否
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,2,否,否
JOURNAL OF CHANGE MANAGEMENT,3,否,否
JOURNAL OF CHEMICAL AND ENGINEERING DATA,3,否,否
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,4,否,否
JOURNAL OF CHEMICAL ECOLOGY,3,否,否
JOURNAL OF CHEMICAL EDUCATION,3,否,否
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,4,否,是
Journal of Chemical Information and Modeling,2,是,否
Journal of Chemical Metrology,4,否,否
JOURNAL OF CHEMICAL NEUROANATOMY,4,否,否
JOURNAL OF CHEMICAL PHYSICS,2,否,否
JOURNAL OF CHEMICAL RESEARCH,4,否,否
JOURNAL OF CHEMICAL SCIENCES,4,否,否
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,4,否,否
Journal of Chemical Theory and Computation,1,是,否
JOURNAL OF CHEMICAL THERMODYNAMICS,3,否,否
Journal of Cheminformatics,2,否,是
Journal of Chemistry and Technologies,4,否,是
Journal of Chemistry,4,否,否
JOURNAL OF CHEMOMETRICS,4,否,否
JOURNAL OF CHEMOTHERAPY,4,否,否
Journal of Child & Adolescent Trauma,4,否,否
Journal of Child and Adolescent Mental Health,4,否,否
Journal of Child and Adolescent Psychiatric Nursing,4,否,否
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,4,否,否
Journal of Child and Family Studies,3,否,否
Journal of Child Health Care,4,否,否
JOURNAL OF CHILD LANGUAGE,2,否,是
JOURNAL OF CHILD NEUROLOGY,3,否,否
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,1,是,否
JOURNAL OF CHILD PSYCHOTHERAPY,4,否,否
Journal of Child Science,4,否,否
Journal of Child Sexual Abuse,4,否,否
Journal of Childhood Studies,4,否,是
Journal of Children and Media,4,否,否
Journal of Childrens Orthopaedics,4,否,是
Journal of Childrens Services,4,否,否
Journal of China Tourism Research,4,否,否
Journal of Chinese Cinemas,3,否,否
Journal of Chinese Economic and Business Studies,4,否,否
Journal of Chinese Economic and Foreign Trade Studies,4,否,否
Journal of Chinese Governance,3,否,否
Journal of Chinese History,3,否,否
Journal of Chinese Human Resources Management,4,否,否
JOURNAL OF CHINESE LINGUISTICS,4,否,否
Journal of Chinese Literature and Culture,3,否,否
Journal of Chinese Military History,4,否,否
Journal of Chinese Overseas,4,否,否
JOURNAL OF CHINESE PHILOSOPHY,4,否,否
Journal of Chinese Political Science,1,是,否
Journal of Chinese Religions,2,否,否
Journal of Chinese Sociology,4,否,是
Journal of Chiropractic Education,4,否,否
Journal of Chiropractic Medicine,4,否,否
Journal of Choice Modelling,3,否,否
Journal of Christian Nursing,4,否,否
JOURNAL OF CHROMATOGRAPHIC SCIENCE,4,否,否
JOURNAL OF CHROMATOGRAPHY A,2,是,否
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,3,否,否
JOURNAL OF CHURCH AND STATE,4,否,否
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,4,否,否
Journal of Civil Engineering and Management,3,否,是
Journal of Civil Engineering Education,4,否,否
Journal of Civil Society,4,否,否
Journal of Civil Structural Health Monitoring,3,否,否
Journal of Classical Sociology,3,否,否
Journal of Classics Teaching,4,否,是
JOURNAL OF CLASSIFICATION,3,否,否
Journal of Cleaner Production,1,是,否
Journal of Climate Change,4,否,否
JOURNAL OF CLIMATE,2,是,否
Journal of Clinical and Diagnostic Research,4,否,是
Journal of Clinical and Experimental Hematopathology,4,否,是
Journal of Clinical and Experimental Hepatology,4,否,否
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,4,否,否
Journal of Clinical and Translational Endocrinology,3,否,是
Journal of Clinical and Translational Hepatology,3,否,否
Journal of Clinical and Translational Science,4,否,是
Journal of Clinical Anesthesia,2,否,否
JOURNAL OF CLINICAL APHERESIS,4,否,否
JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,4,否,否
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1,是,否
JOURNAL OF CLINICAL DENSITOMETRY,4,否,否
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,2,是,否
JOURNAL OF CLINICAL EPIDEMIOLOGY,2,是,否
JOURNAL OF CLINICAL GASTROENTEROLOGY,3,否,否
Journal of Clinical Hypertension,3,否,是
Journal of Clinical Imaging Science,4,否,否
JOURNAL OF CLINICAL IMMUNOLOGY,2,否,否
JOURNAL OF CLINICAL INVESTIGATION,1,是,否
JOURNAL OF CLINICAL LABORATORY ANALYSIS,4,否,是
Journal of Clinical Lipidology,3,否,否
Journal of Clinical Medicine Research-Canada,4,否,否
Journal of Clinical Medicine,3,否,是
JOURNAL OF CLINICAL MICROBIOLOGY,2,否,否
JOURNAL OF CLINICAL MONITORING AND COMPUTING,3,否,否
Journal of Clinical Neonatology,4,否,否
Journal of Clinical Neurology,4,否,是
JOURNAL OF CLINICAL NEUROPHYSIOLOGY,4,否,否
JOURNAL OF CLINICAL NEUROSCIENCE,4,否,否
JOURNAL OF CLINICAL NURSING,3,否,否
Journal of Clinical Obstetrics and Gynecology,4,否,是
JOURNAL OF CLINICAL ONCOLOGY,1,是,否
JOURNAL OF CLINICAL PATHOLOGY,4,否,否
Journal of Clinical Pediatric Dentistry,4,否,否
JOURNAL OF CLINICAL PERIODONTOLOGY,1,是,否
JOURNAL OF CLINICAL PHARMACOLOGY,4,否,否
JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS,4,否,否
Journal of Clinical Practice and Research,4,否,是
JOURNAL OF CLINICAL PSYCHIATRY,2,否,否
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,4,否,否
JOURNAL OF CLINICAL PSYCHOLOGY,3,否,否
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,3,否,否
Journal of Clinical Research in Pediatric Endocrinology,4,否,是
Journal of Clinical Sciences,4,否,是
Journal of Clinical Sleep Medicine,3,否,否
Journal of Clinical Sport Psychology,4,否,否
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,4,否,是
JOURNAL OF CLINICAL ULTRASOUND,4,否,否
Journal of Clinical Urology,4,否,否
Journal of Clinical Virology Plus,4,否,否
JOURNAL OF CLINICAL VIROLOGY,3,否,否
Journal of Cloud Computing-Advances Systems and Applications,3,否,是
JOURNAL OF CLUSTER SCIENCE,4,否,否
Journal of Co-operative Organization and Management,4,否,否
Journal of CO2 Utilization,2,否,是
JOURNAL OF COASTAL CONSERVATION,4,否,否
Journal of Coatings Technology and Research,4,否,否
Journal of Cognition and Culture,4,否,否
Journal of Cognition and Development,3,否,否
Journal of Cognitive Education and Psychology,4,否,否
Journal of Cognitive Engineering and Decision Making,3,否,否
Journal of Cognitive Enhancement,4,否,否
JOURNAL OF COGNITIVE NEUROSCIENCE,3,否,否
Journal of Cognitive Psychology,4,否,否
Journal of Cognitive Psychotherapy,4,否,否
Journal of Cognitive Science,4,否,否
JOURNAL OF COLD REGIONS ENGINEERING,4,否,否
Journal of Cold War Studies,2,否,否
Journal of College of Sharia and Islamic Studies,4,否,是
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,4,否,否
JOURNAL OF COLLEGE STUDENT PSYCHOTHERAPY,4,否,否
Journal of College Student Retention-Research Theory & Practice,4,否,否
JOURNAL OF COLLOID AND INTERFACE SCIENCE,1,是,否
Journal of Combinatorial Algebra,3,否,是
JOURNAL OF COMBINATORIAL DESIGNS,4,否,否
JOURNAL OF COMBINATORIAL OPTIMIZATION,4,否,否
JOURNAL OF COMBINATORIAL THEORY SERIES A,3,否,否
JOURNAL OF COMBINATORIAL THEORY SERIES B,1,是,否
Journal of Combinatorics,4,否,否
Journal of Combustion,4,否,是
Journal of Commodity Markets,3,否,否
JOURNAL OF COMMONWEALTH LITERATURE,3,否,否
JOURNAL OF COMMUNICATION DISORDERS,3,否,否
Journal of Communication Inquiry,3,否,否
Journal of Communication Management,2,否,否
JOURNAL OF COMMUNICATION,1,是,否
JOURNAL OF COMMUNICATIONS AND NETWORKS,4,否,否
Journal of Communications Software and Systems,4,否,是
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,4,否,否
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,3,否,否
Journal of Community Genetics,4,否,是
Journal of Community Health Nursing,4,否,否
JOURNAL OF COMMUNITY HEALTH,3,否,否
Journal of Community Hospital Internal Medicine Perspectives,4,否,是
Journal of Community Practice,3,否,否
JOURNAL OF COMMUNITY PSYCHOLOGY,3,否,否
Journal of Commutative Algebra,4,否,否
JOURNAL OF COMPARATIVE ECONOMICS,2,否,否
Journal of Comparative Effectiveness Research,4,否,是
JOURNAL OF COMPARATIVE FAMILY STUDIES,4,否,否
Journal of Comparative Germanic Linguistics,2,否,否
JOURNAL OF COMPARATIVE NEUROLOGY,3,否,否
JOURNAL OF COMPARATIVE PATHOLOGY,4,否,否
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,4,否,否
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,3,否,否
Journal of Comparative Policy Analysis,3,否,否
Journal of Comparative Politics,3,否,否
JOURNAL OF COMPARATIVE PSYCHOLOGY,4,否,否
Journal of Competition Law & Economics,3,否,否
Journal of Competitiveness,2,否,是
Journal of Complex Networks,4,否,否
JOURNAL OF COMPLEXITY,2,否,否
JOURNAL OF COMPOSITE MATERIALS,4,否,否
JOURNAL OF COMPOSITES FOR CONSTRUCTION,3,否,否
Journal of Composites Science,4,否,是
